code,category,value,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011
E07000118,popDensity,580.6,Chorley,357265,418497,E92000001,E12000002,E14000637,,,
E07000121,popDensity,252.1,Lancaster,353328,463919,E92000001,E12000002,E14000776,,,
E07000122,popDensity,565.4,Pendle,387886,441045,E92000001,E12000002,E14000875,,,
E07000123,popDensity,1039,Preston,354185,435253,E92000001,E12000002,E14000706,,,
E07000125,popDensity,513.4,Rossendale,382473,421988,E92000001,E12000002,E14000902,,,
E07000126,popDensity,981.4,South Ribble,353203,425975,E92000001,E12000002,E14000894,,,
E07000127,popDensity,338.8,West Lancashire,341717,412911,E92000001,E12000002,E14001033,,,
E07000128,popDensity,396.7,Wyre,344008,445536,E92000001,E12000002,E14000572,,,
E07000129,popDensity,788.9,Blaby,452852,297375,E92000001,E12000004,E14000940,,,
E07000130,popDensity,659.2,Charnwood,457739,315833,E92000001,E12000004,E14000625,,,
E07000131,popDensity,165,Harborough,467383,293977,E92000001,E12000004,E14000940,,,
E07000132,popDensity,382.2,Hinckley and Bosworth,441354,302271,E92000001,E12000004,E14000583,,,
E07000133,popDensity,107.5,Melton,477226,322729,E92000001,E12000004,E14000909,,,
