code,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011,home,metro,train,bus,taxi,motorcycle,carDriver,carPassenger,bicycle,foot,other,noWork
E06000010,Kingston upon Hull,509765,430588,E92000001,E12000003,E14000771,,,,15534,41,414,8903,1497,969,61237,9104,8169,10676,1245,149222
E06000013,North Lincolnshire,493268,411782,E92000001,E12000003,E14000596,,,,13277,21,131,1036,233,378,47177,4265,2307,6617,781,93457
E06000016,Leicester,459135,304861,E92000001,E12000004,E14000782,,,,29530,145,755,10782,2876,469,67246,13734,5470,21589,2338,213637
E06000022,Bath and North East Somerset,367057,162001,E92000001,E12000009,E14000547,,,,34611,62,629,3063,235,522,35753,2637,1713,9848,742,103597
E06000025,South Gloucestershire,367431,183263,E92000001,E12000009,E14000702,,,,52349,40,438,4442,276,968,71696,4890,3060,8371,1080,142812
E06000030,Swindon,417817,185857,E92000001,E12000009,E14000851,,,,36022,64,514,6612,830,559,55279,6049,3289,7517,1131,115544
E06000033,Southend-on-Sea,589363,185610,E92000001,E12000006,E14000899,,,,27823,242,4523,2601,390,378,33110,2865,1766,8570,991,97427
E06000034,Thurrock,564863,181237,E92000001,E12000006,E14000933,,,,21081,1980,6046,2602,555,530,43245,3548,1016,4355,990,90052
E06000046,Isle of Wight,449779,86461,E92000001,E12000008,E14000762,,,,12922,39,252,2291,83,621,29704,2100,1275,7404,1219,82549
E06000049,Cheshire East,376729,364874,E92000001,E12000002,E14000646,,,,67827,98,1630,1328,931,663,93442,7454,3537,13950,1627,206285
E06000052,Cornwall,199168,59975,E92000001,E12000009,E14000616,,,,62832,80,1275,3410,686,1925,142649,10378,2988,25022,3001,316058
E07000011,Huntingdonshire,521228,276573,E92000001,E12000006,E14000757,,,,31900,51,1005,1118,314,351,44173,3138,2354,6281,707,89441
E07000039,South Derbyshire,429750,326002,E92000001,E12000004,E14000935,,,,14903,25,127,685,312,275,32062,2064,485,2555,411,53302
E07000040,East Devon,313793,96775,E92000001,E12000009,E14000623,,,,19757,26,540,1159,113,441,34839,2149,1177,5856,671,84101
E07000044,South Hams,270440,54205,E92000001,E12000009,E14000950,,,,13451,28,137,491,59,299,20416,1183,412,3601,510,48043
E07000064,Rother,578409,119997,E92000001,E12000008,E14000557,,,,12306,31,872,332,131,200,19187,1311,345,2800,417,55176
E07000065,Wealden,554434,120966,E92000001,E12000008,E14001023,,,,26043,49,1255,696,150,253,38611,2319,530,3989,647,85608
E07000066,Basildon,570901,190821,E92000001,E12000006,E14000544,,,,27225,707,4967,1846,802,386,41731,3818,1057,5498,976,98560
E07000073,Harlow,545614,209915,E92000001,E12000006,E14000729,,,,9631,753,979,1108,548,262,24427,2508,985,4245,535,47347
E07000078,Cheltenham,395079,221973,E92000001,E12000009,E14000630,,,,21711,25,249,1717,118,235,22959,1980,2372,7320,472,59679
E07000081,Gloucester,383531,216834,E92000001,E12000009,E14000712,,,,15908,24,215,2786,194,418,34341,3161,2174,5909,491,66795
