code,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011,d_N/A,d_2less,d_2_5,d_5_10,d_10_20,d_20_30,d_30_40,d_40_60,d_60plus,d_home,d_offshore
E07000091,New Forest,426464,106633,E92000001,E12000008,E14000828,,,,97083,8646,6763,8965,9347,4553,1382,769,1367,23960,12950
E07000092,Rushmoor,486069,153516,E92000001,E12000008,E14000530,,,,46741,6472,7275,5801,5362,2188,910,1253,671,15301,7777
E07000093,Test Valley,434314,136669,E92000001,E12000008,E14000857,,,,64631,6595,6064,5424,5365,4178,1761,1158,1279,23856,10182
E07000094,Winchester,454712,125708,E92000001,E12000008,E14001041,,,,66871,5881,4266,4010,6404,2900,1365,943,1319,26249,7237
E07000095,Broxbourne,534904,204646,E92000001,E12000006,E14000606,,,,50701,4519,4051,5772,6216,3297,649,329,251,14218,9004
E07000096,Dacorum,500758,209858,E92000001,E12000006,E14000739,,,,77883,7714,6400,5823,7784,3398,2562,1027,484,30226,11780
E07000098,Hertsmere,518976,199022,E92000001,E12000006,E14000745,,,,55061,4266,3947,5725,6330,2517,449,258,319,21051,7900
E07000099,North Hertfordshire,524291,230523,E92000001,E12000006,E14000749,,,,66049,6942,4815,5147,5435,3240,1928,2229,556,28689,8180
E07000102,Three Rivers,506561,196949,E92000001,E12000006,E14000951,,,,46823,2855,4427,4903,4334,2635,747,306,284,19608,6849
E07000106,Canterbury,616375,158359,E92000001,E12000008,E14000619,,,,91265,8881,5781,7221,5817,3654,1238,1114,2154,20109,10193
E07000107,Dartford,556785,172676,E92000001,E12000008,E14000659,,,,57930,5077,6882,5740,5828,5010,1190,450,458,18217,9971
E07000108,Dover,629815,151044,E92000001,E12000008,E14000670,,,,65484,6324,4147,4550,7953,3701,768,595,1357,12291,9240
E07000109,Gravesham,566746,170115,E92000001,E12000008,E14000715,,,,57139,4899,4749,5286,6081,2681,2254,684,535,13037,9556
E07000110,Maidstone,580248,151563,E92000001,E12000008,E14000804,,,,89373,8336,9418,7898,8894,4094,1949,2739,959,26842,15280
